COUNTY,YEAR,TOTAL,WHITE,HISPANIC,ASIAN,PACIFIC_ISLANDER,BLACK,AMERICAN_INDIAN,MULTIRACE,WHITE_%,HISPANIC_%,ASIAN_%,PACIFIC_ISLANDER_%,BLACK_%,AMERICAN_INDIAN_%,MULTIRACE_%
Alpine,2007,1331,929,116,4,1,7,225,49,69.7971450037566%,8.7152516904583%,0.30052592036063%,0.075131480090158%,0.5259203606311%,16.9045830202855%,3.68144252441773%
Alpine,2008,1344,934,118,4,1,7,229,51,69.4940476190476%,8.7797619047619%,0.29761904761905%,0.074404761904762%,0.52083333333333%,17.0386904761905%,3.79464285714286%
Alpine,2009,1358,940,120,4,1,7,233,53,69.219440353461%,8.83652430044183%,0.29455081001473%,0.073637702503682%,0.51546391752577%,17.1575846833579%,3.90279823269514%
Alpine,2010,1369,944,122,4,1,7,236,55,68.9554419284149%,8.91161431701972%,0.29218407596786%,0.073046018991965%,0.51132213294375%,17.2388604821037%,4.01753104455807%
Alpine,2011,1377,946,124,4,1,7,240,55,68.7000726216412%,9.00508351488744%,0.29048656499637%,0.072621641249092%,0.50835148874365%,17.4291938997821%,3.99419026870007%
Alpine,2012,1387,950,126,4,1,7,244,55,68.4931506849315%,9.0843547224225%,0.28839221341024%,0.07209805335256%,0.50468637346792%,17.5919250180245%,3.96539293439077%
Alpine,2013,1396,953,128,4,1,7,248,55,68.2664756446991%,9.16905444126074%,0.2865329512894%,0.07163323782235%,0.50143266475645%,17.7650429799427%,3.93982808022923%
Alpine,2014,1405,956,130,4,1,7,252,55,68.0427046263345%,9.25266903914591%,0.2846975088968%,0.071174377224199%,0.4982206405694%,17.9359430604982%,3.91459074733096%
Alpine,2015,1415,960,132,4,1,7,256,55,67.8445229681979%,9.32862190812721%,0.28268551236749%,0.070671378091873%,0.49469964664311%,18.0918727915194%,3.886925795053%
Alpine,2016,1425,964,134,4,1,7,260,55,67.6491228070176%,9.40350877192982%,0.28070175438596%,0.070175438596491%,0.49122807017544%,18.2456140350877%,3.85964912280702%
Alpine,2017,1435,968,136,4,1,7,264,55,67.4564459930314%,9.47735191637631%,0.2787456445993%,0.069686411149826%,0.48780487804878%,18.397212543554%,3.83275261324042%
Alpine,2018,1443,970,138,4,1,7,268,55,67.2210672210672%,9.56340956340956%,0.27720027720028%,0.069300069300069%,0.48510048510049%,18.5724185724186%,3.81150381150381%
Alpine,2019,1450,971,140,4,1,7,272,55,66.9655172413793%,9.6551724137931%,0.27586206896552%,0.068965517241379%,0.48275862068966%,18.7586206896552%,3.79310344827586%
Alpine,2020,1453,969,142,4,1,7,275,55,66.68960770819%,9.77288368891948%,0.27529249827942%,0.068823124569856%,0.48176187198899%,18.9263592567103%,3.78527185134205%
Alpine,2021,1456,966,144,4,1,7,279,55,66.3461538461538%,9.89010989010989%,0.27472527472527%,0.068681318681319%,0.48076923076923%,19.1620879120879%,3.77747252747253%
Alpine,2022,1460,964,146,4,1,7,283,55,66.027397260274%,10%,0.27397260273973%,0.068493150684932%,0.47945205479452%,19.3835616438356%,3.76712328767123%
Alpine,2023,1465,963,148,4,1,7,287,55,65.7337883959044%,10.1023890784983%,0.27303754266212%,0.068259385665529%,0.4778156996587%,19.5904436860068%,3.7542662116041%
Alpine,2024,1466,957,151,4,1,7,291,55,65.2796725784448%,10.300136425648%,0.27285129604366%,0.068212824010914%,0.4774897680764%,19.849931787176%,3.75170532060027%
Alpine,2025,1467,952,154,4,1,7,294,55,64.8943421949557%,10.4976141785958%,0.27266530334015%,0.068166325835038%,0.47716428084526%,20.040899795501%,3.74914792092706%
Alpine,2026,1468,947,156,4,1,7,298,55,64.5095367847412%,10.6267029972752%,0.2724795640327%,0.068119891008174%,0.47683923705722%,20.299727520436%,3.74659400544959%
Alpine,2027,1469,943,158,4,1,7,301,55,64.1933287950987%,10.7556160653506%,0.27229407760381%,0.068073519400953%,0.47651463580667%,20.4901293396869%,3.74404356705242%
Alpine,2028,1469,937,160,4,1,7,305,55,63.784887678693%,10.8917631041525%,0.27229407760381%,0.068073519400953%,0.47651463580667%,20.7624234172907%,3.74404356705242%
Alpine,2029,1465,928,162,4,1,7,306,57,63.3447098976109%,11.0580204778157%,0.27303754266212%,0.068259385665529%,0.4778156996587%,20.8873720136519%,3.89078498293515%
Alpine,2030,1462,919,164,4,1,7,308,59,62.859097127223%,11.2175102599179%,0.27359781121751%,0.068399452804378%,0.47879616963064%,21.0670314637483%,4.03556771545828%
Alpine,2031,1457,907,165,4,1,7,312,61,62.2512010981469%,11.3246396705559%,0.2745367192862%,0.068634179821551%,0.48043925875086%,21.413864104324%,4.18668496911462%
Alpine,2032,1455,897,167,4,1,7,316,63,61.6494845360825%,11.4776632302406%,0.27491408934708%,0.06872852233677%,0.48109965635739%,21.7182130584192%,4.32989690721649%
